dataset,attack,alpha,n_seeds,dp_naive_mean,dp_dro_mean,dp_diff_mean,dp_pvalue,dp_sig,if_naive_mean,if_dro_mean,if_diff_mean,if_pvalue,if_sig
adult,combined,0.100000,6,0.150870,0.143248,0.007622,0.015625,*,0.000000,0.000000,0.000000,0.015625,*
adult,combined,0.200000,6,0.196296,0.178448,0.017847,0.015625,*,0.000000,0.000000,0.000000,0.218750,
adult,combined,0.300000,6,0.217567,0.192235,0.025332,0.015625,*,0.000000,0.000000,0.000000,0.015625,*
adult,combined,0.400000,6,0.211010,0.181493,0.029517,0.015625,*,0.000000,0.000000,0.000000,0.578125,
adult,dp,0.100000,6,0.202562,0.199895,0.002667,0.031250,*,0.000000,0.000000,0.000000,0.281250,
adult,dp,0.200000,6,0.245241,0.233382,0.011859,0.015625,*,0.000000,0.000000,-0.000000,0.890625,
adult,dp,0.300000,6,0.284781,0.261353,0.023428,0.015625,*,0.000000,0.000000,0.000000,0.343750,
adult,dp,0.400000,6,0.314011,0.285500,0.028511,0.015625,*,0.000000,0.000000,0.000000,0.281250,
adult,if,0.100000,6,0.074052,0.069754,0.004298,0.031250,*,0.000000,0.000000,0.000000,0.046875,*
adult,if,0.200000,6,0.041584,0.040664,0.000920,0.156250,,0.000000,0.000000,-0.000000,0.656250,
adult,if,0.300000,6,0.017657,0.019502,-0.001845,0.984375,,0.000000,0.000000,0.000000,0.218750,
adult,if,0.400000,6,0.007348,0.004810,0.002538,0.156250,,0.000000,0.000000,0.000000,0.500000,
credit,combined,0.100000,6,0.011692,0.010624,0.001068,0.031250,*,0.000000,0.000000,0.000000,1.000000,
credit,combined,0.200000,6,0.013463,0.012083,0.001381,0.015625,*,0.000000,0.000000,0.000000,1.000000,
credit,combined,0.300000,6,0.017689,0.014872,0.002817,0.015625,*,0.000000,0.000000,0.000000,1.000000,
credit,combined,0.400000,2,0.016956,0.013172,0.003784,0.250000,,0.000000,0.000000,-0.000000,1.000000,
credit,dp,0.100000,6,0.015133,0.013428,0.001705,0.015625,*,0.000000,0.000000,0.000000,0.500000,
credit,dp,0.200000,6,0.019784,0.017829,0.001955,0.015625,*,0.000000,0.000000,-0.000000,1.000000,
credit,dp,0.300000,6,0.025343,0.022843,0.002500,0.015625,*,0.000000,0.000000,0.000000,1.000000,
credit,dp,0.400000,3,0.016578,0.014568,0.002010,0.125000,,0.000000,0.000000,0.000000,1.000000,
credit,if,0.100000,6,0.007355,0.006397,0.000958,0.046875,*,0.000000,0.000000,-0.000000,1.000000,
credit,if,0.200000,6,0.005669,0.004745,0.000923,0.015625,*,0.000000,0.000000,0.000000,1.000000,
credit,if,0.300000,6,0.004678,0.003634,0.001044,0.015625,*,0.000000,0.000000,-0.000000,1.000000,
credit,if,0.400000,3,0.003531,0.002028,0.001504,0.250000,,0.000000,0.000000,0.000000,0.500000,
lsac,combined,0.100000,6,0.143747,0.136073,0.007674,0.015625,*,0.000000,0.000000,0.000000,1.000000,
lsac,combined,0.200000,6,0.132124,0.124762,0.007362,0.031250,*,0.000000,0.000000,0.000000,1.000000,
lsac,dp,0.100000,6,0.220139,0.253936,-0.033797,1.000000,,0.000000,0.000000,0.000000,1.000000,
lsac,dp,0.200000,6,0.182709,0.223026,-0.040316,1.000000,,0.000000,0.000000,0.000000,1.000000,
lsac,if,0.100000,6,0.065537,0.067725,-0.002188,0.843750,,0.000000,0.000000,0.000000,1.000000,
lsac,if,0.200000,6,0.044185,0.059996,-0.015811,1.000000,,0.000000,0.000000,0.000000,1.000000,
