dataset,attack,method,alpha,n_seeds,acc_mean,acc_se,dp_mean,dp_se,if_mean,if_se
adult,combined,dro,0.1,5,0.812139303482587,0.003488706268615998,0.15427915900945663,0.014357992129602915,0.026240618023716456,0.002653888644491562
adult,combined,dro,0.2,5,0.7923272526257601,0.009715214428389678,0.11810970343649388,0.04988982484152167,0.016452069764328458,0.00905703134119505
adult,combined,dro,0.3,5,0.7521282476506357,0.0,1.9283419255384244e-12,1.901052553911881e-12,4.231355741200922e-32,4.019101257359823e-32
adult,combined,naive,0.1,5,0.8072747374239911,0.004631113678462909,0.1268920347094536,0.016491666524661514,0.022489265058921914,0.003570264533601179
adult,combined,naive,0.2,5,0.805461580983969,0.00857483654989899,0.1969293996691704,0.04202394870346957,0.03640934793390338,0.009264325115887949
adult,combined,naive,0.3,5,0.7521282476506357,0.0,2.0741859831107668e-19,2.0737791374146843e-19,2.8624367738369328e-36,1.751667152529903e-36
adult,dp,dro,0.1,5,0.812913211719182,0.0030868152075120272,0.22967520952224732,0.00822015697753805,0.046466884976514924,0.0034772225931731454
adult,dp,dro,0.2,5,0.7898507462686568,0.003929317956482132,0.20925927460193633,0.039140514756635644,0.04597383896142753,0.011003094144215932
adult,dp,dro,0.3,5,0.7521282476506357,0.0,1.6829864076585319e-07,1.682986265993918e-07,4.4885386275715616e-41,2.7628811604977577e-41
adult,dp,naive,0.1,5,0.8156771697070205,0.003972937478480894,0.20559119582176208,0.008577846532067676,0.04187926319617933,0.0032207691674871575
adult,dp,naive,0.2,5,0.7864455500276395,0.003433650223988257,0.17053205892443657,0.03280042593923603,0.05047414321384246,0.012727782413263363
adult,dp,naive,0.3,5,0.7521282476506357,0.0,2.3125930403908977e-26,2.3125859966234154e-26,0.0,0.0
adult,if,dro,0.1,5,0.8153676064123825,0.0028859745265866687,0.16855375170707704,0.006811680228236356,0.0341533889935702,0.001689135191753813
adult,if,dro,0.2,5,0.7948922056384744,0.012453765334002102,0.08818380458906176,0.027986325933489185,0.016304940085670214,0.006219315128500666
adult,if,dro,0.3,5,0.49753454947484793,0.05273988072238371,0.21764837205410004,0.023245190532399575,0.04995910017538224,0.0023965553330119616
adult,if,naive,0.1,5,0.8137755666113875,0.0025113049104733168,0.151637202501297,0.007456989618642418,0.031260715259397664,0.00247196768517835
adult,if,naive,0.2,5,0.8035378662244334,0.007800435945765673,0.11150128170847892,0.0198953687656939,0.02523087623825453,0.005818408543028251
adult,if,naive,0.3,5,0.5684687672747375,0.01489911905857309,0.2697506248950958,0.015401439446663773,0.05757683929054053,0.00334890316547397
credit,combined,dro,0.1,5,0.7839333333333334,0.0033406586176980067,0.0026312200357513664,0.0019193060618218193,0.00012574311978580185,9.352646369290654e-05
credit,combined,dro,0.2,5,0.7788333333333334,0.0,5.320894656011721e-09,5.320020734268814e-09,0.0,0.0
credit,combined,dro,0.3,5,0.7787000000000001,0.00013333333333334085,9.423847418110753e-05,9.00432408835532e-05,0.0,0.0
