dataset,attack,alpha,n,dp_naive_mean,dp_dro_mean,dp_reduction_pct,dp_pvalue,dp_wins,if_naive_mean,if_dro_mean,if_reduction_pct,if_pvalue,if_wins
adult,combined,0.0,3,0.15693489710489908,0.1686163047949473,-7.4434731606525775,1.0,0,0.03699341572210413,0.04061906879732712,-9.800803803516397,1.0,0
adult,combined,0.1,3,0.1672334522008896,0.2113646318515142,-26.38896490560718,1.0,0,0.02847991404045395,0.03162302238696705,-11.036224471836755,1.0,0
adult,combined,0.2,3,0.2531617184480031,0.4826783339182536,-90.66007602226925,1.0,0,0.032308016502790075,0.027476662618068217,14.954035909016694,0.25,2
adult,combined,0.3,3,0.4435892403125763,0.5530496835708618,-24.67608112260474,1.0,0,0.039063320947642345,0.022886046475141475,41.412941702753706,0.125,3
adult,combined,0.4,3,0.2134386400381724,0.1849359174569448,13.354058684371381,0.125,3,1.043498683042553e-10,6.09622914830123e-11,0.42939503665983453,0.25,2
adult,dp,0.0,3,0.15693489710489908,0.1686163047949473,-7.4434731606525775,1.0,0,0.03699341572245034,0.04061906879732712,-9.800803802488804,1.0,0
adult,dp,0.1,3,0.18005824585755667,0.20326147973537445,-12.886514848935203,1.0,0,0.03154099195620137,0.030906158167742438,2.012725497244764,0.375,2
adult,dp,0.2,3,0.3272002041339874,0.5034253398577372,-53.85850256552282,1.0,0,0.027689393782417776,0.017282285339520215,37.585166241484295,0.125,3
adult,dp,0.3,3,0.5313073992729187,0.562275250752767,-5.828612765296651,1.0,0,0.025981606625916864,0.020110282385015086,22.597994287411225,0.125,3
adult,dp,0.4,3,0.31010715166727704,0.28346607089042664,8.590927289010626,0.125,3,1.7959161544995516e-10,7.908621597796191e-11,0.9873225102611421,0.375,2
adult,if,0.0,3,0.15693489710489908,0.1686163047949473,-7.4434731606525775,1.0,0,0.036993415771653326,0.04061906879732712,-9.800803656448595,1.0,0
adult,if,0.1,3,0.12607723971207938,0.14644273618857065,-16.153189035293547,1.0,0,0.024753504770101322,0.025179824414647053,-1.7222590347479192,0.75,1
adult,if,0.2,3,0.09018793950478236,0.08418881893157959,6.651798390077226,0.125,3,0.025411016534543876,0.020319034038114657,20.0384761690251,0.125,3
adult,if,0.3,3,0.03760106861591339,0.033725254237651825,10.307721270052232,0.375,2,0.02897717931787891,0.026500346824897547,8.547524971489066,0.25,2
adult,if,0.4,3,0.007095595200856526,0.0055395762125651045,21.92933434492087,0.375,2,1.1533406496786112e-10,1.0984196663605821e-10,0.05429477955477052,0.625,1
credit,combined,0.0,3,0.013040624558925629,0.013075475891431173,-0.267251814687888,0.625,1,0.000236109399201116,0.00030202367158955806,-27.915653102394693,0.875,1
credit,combined,0.1,3,0.014109080036481222,0.014840981612602869,-5.187447058805373,0.75,1,0.000251216438354434,0.0003881566777763327,-54.50868957856314,1.0,0
credit,combined,0.2,3,0.02235659956932068,0.02039069930712382,8.793373861547435,0.125,3,0.0011230287834590295,0.0009588623284706605,14.618057488871944,0.25,2
credit,combined,0.3,3,0.034163981676101685,0.02219447245200475,35.035452934118986,0.125,3,0.0029609440336643045,0.0026282407801465958,11.2363532069417,0.375,2
credit,combined,0.4,3,0.016876230637232464,0.012557923793792725,25.588085262974175,0.125,3,0.0,0.0,0.0,1.0,0
credit,dp,0.0,3,0.013040624558925629,0.013075475891431173,-0.267251814687888,0.625,1,0.00023610942570497515,0.00030202367158955806,-27.915638744158638,0.875,1
credit,dp,0.1,3,0.019818422695000965,0.01915404200553894,3.352337188750598,0.375,2,0.0009360756398746405,0.0011201434215251096,-19.66356215817168,0.75,1
credit,dp,0.2,3,0.031852662563323975,0.03286789357662201,-3.187271056391667,1.0,0,0.0031532930645539136,0.002014535876758364,36.11315387335424,0.125,3
