dataset,alpha,k5_naive,k5_dro,k10_naive,k10_dro,k15_naive,k15_dro
adult,0.1000,0.0991,0.1465,0.0996,0.1074,0.1292,0.1501
adult,0.2000,0.0642,0.0854,0.0642,0.0647,0.0938,0.1016
adult,0.3000,0.0269,0.0361,0.0226,0.0292,0.0484,0.0378
adult,0.4000,0.0073,0.0052,0.0098,0.0062,0.0105,0.0069
credit,0.1000,0.0074,0.0064,0.0073,0.0064,0.0071,0.0062
credit,0.2000,0.0053,0.0044,0.0051,0.0043,0.0052,0.0043
credit,0.3000,0.0047,0.0036,0.0043,0.0037,0.0041,0.0033
credit,0.4000,0.0045,0.0034,0.0043,0.0033,0.0045,0.0032
lsac,0.1000,0.0655,0.0677,0.0594,0.0635,0.0573,0.0622
lsac,0.2000,0.0445,0.0581,0.0421,0.0561,0.0418,0.0554
lsac,0.3000,0.0561,0.0617,0.0555,0.0610,0.0532,0.0587
lsac,0.4000,0.0544,0.0536,0.0508,0.0509,0.0501,0.0489
