alpha,lambda_init,lr_lambda,dp_mean,dp_se,acc_mean,acc_se,n_seeds
0.100000,0.000000,0.001000,0.204476,0.006413,0.819200,0.001086,3
0.100000,0.000000,0.005000,0.204578,0.006422,0.819237,0.001021,3
0.100000,0.010000,0.001000,0.205221,0.006378,0.819606,0.000906,3
0.100000,0.010000,0.005000,0.205315,0.006385,0.819606,0.000803,3
0.100000,0.100000,0.001000,0.211193,0.005667,0.821485,0.000205,3
0.100000,0.100000,0.005000,0.211265,0.005662,0.821411,0.000242,3
0.200000,0.000000,0.001000,0.160613,0.072234,0.753639,0.001186,3
0.200000,0.000000,0.005000,0.237128,0.004519,0.754708,0.000512,3
0.200000,0.010000,0.001000,0.237279,0.004584,0.755113,0.000522,3
0.200000,0.010000,0.005000,0.236967,0.004433,0.755261,0.000843,3
0.200000,0.100000,0.001000,0.230812,0.004714,0.762115,0.004410,3
0.200000,0.100000,0.005000,0.230191,0.004745,0.762410,0.004478,3
0.300000,0.000000,0.001000,0.265082,0.005067,0.677317,0.004308,3
0.300000,0.000000,0.005000,0.264142,0.004983,0.678902,0.004188,3
0.300000,0.010000,0.001000,0.264905,0.005020,0.678607,0.004091,3
0.300000,0.010000,0.005000,0.263827,0.005016,0.680818,0.003620,3
0.300000,0.100000,0.001000,0.246653,0.006026,0.687083,0.004790,3
0.300000,0.100000,0.005000,0.244023,0.005936,0.687562,0.004837,3
0.400000,0.000000,0.001000,0.286218,0.004070,0.560015,0.003294,3
0.400000,0.000000,0.005000,0.283466,0.004140,0.557988,0.003373,3
0.400000,0.010000,0.001000,0.285231,0.004059,0.559388,0.003414,3
0.400000,0.010000,0.005000,0.282135,0.004209,0.557324,0.003356,3
0.400000,0.100000,0.001000,0.260263,0.004963,0.545274,0.003935,3
0.400000,0.100000,0.005000,0.253688,0.005331,0.544131,0.003728,3
