Adult tau=1 summary stats for α=0.1/0.2/0.3/0.4 (from tau_ablation_tau1.json + canonical fallback)
Preliminary (n=3 seeds per cell). Constant predictor acc baseline = 0.752

 alpha   attack method  n  acc_mean  acc_se  dp_mean  dp_se  if_mean  if_se
   0.1       dp    dro  3    0.8193  0.0011   0.2046 0.0064      0.0    0.0
   0.1       dp  naive  3    0.8181  0.0020   0.2068 0.0079      0.0    0.0
   0.1       if    dro  3    0.8149  0.0019   0.0729 0.0040      0.0    0.0
   0.1       if  naive  3    0.8140  0.0018   0.0759 0.0026      0.0    0.0
   0.1 combined    dro  3    0.8221  0.0010   0.1476 0.0026      0.0    0.0
   0.1 combined  naive  3    0.8216  0.0018   0.1540 0.0017      0.0    0.0
   0.2       dp    dro  3    0.7550  0.0007   0.2371 0.0045      0.0    0.0
   0.2       dp  naive  3    0.7528  0.0017   0.2480 0.0050      0.0    0.0
   0.2       if    dro  3    0.7851  0.0045   0.0448 0.0063      0.0    0.0
   0.2       if  naive  3    0.7798  0.0054   0.0450 0.0059      0.0    0.0
   0.2 combined    dro  3    0.7599  0.0034   0.1826 0.0020      0.0    0.0
   0.2 combined  naive  3    0.7554  0.0029   0.1985 0.0017      0.0    0.0
   0.3       dp    dro  3    0.6790  0.0043   0.2640 0.0049      0.0    0.0
   0.3       dp  naive  3    0.6701  0.0047   0.2855 0.0056      0.0    0.0
   0.3       if    dro  3    0.7287  0.0066   0.0218 0.0066      0.0    0.0
   0.3       if  naive  3    0.7085  0.0063   0.0190 0.0065      0.0    0.0
   0.3 combined    dro  3    0.6954  0.0009   0.1951 0.0028      0.0    0.0
   0.3 combined  naive  3    0.6872  0.0016   0.2188 0.0025      0.0    0.0
   0.4       dp    dro  3    0.5580  0.0032   0.2834 0.0040      0.0    0.0
   0.4       dp  naive  3    0.5469  0.0024   0.3101 0.0047      0.0    0.0
   0.4       if    dro  3    0.6566  0.0041   0.0052 0.0017      0.0    0.0
   0.4       if  naive  3    0.6348  0.0031   0.0071 0.0032      0.0    0.0
   0.4 combined    dro  3    0.6814  0.0025   0.1848 0.0033      0.0    0.0
   0.4 combined  naive  3    0.6668  0.0018   0.2134 0.0036      0.0    0.0
