dataset,attack,alpha,method,tau,n_seeds,acc_mean,acc_se,dp_mean,dp_se,if_mean,if_se
adult,combined,0.000000,dro,1.000000,3,0.816621,0.000897,0.145703,0.002780,0.000000,0.000000
adult,combined,0.000000,naive,1.000000,3,0.814741,0.001519,0.152044,0.003240,0.000000,0.000000
adult,combined,0.100000,dro,1.000000,3,0.822149,0.001032,0.147554,0.002614,0.000000,0.000000
adult,combined,0.100000,naive,1.000000,3,0.821559,0.001791,0.153992,0.001655,0.000000,0.000000
adult,combined,0.200000,dro,1.000000,3,0.759867,0.003373,0.182637,0.002005,0.000000,0.000000
adult,combined,0.200000,naive,1.000000,3,0.755371,0.002948,0.198517,0.001662,0.000000,0.000000
adult,combined,0.300000,dro,1.000000,3,0.695375,0.000947,0.195111,0.002848,0.000000,0.000000
adult,combined,0.300000,naive,1.000000,3,0.687231,0.001611,0.218820,0.002529,0.000000,0.000000
adult,combined,0.400000,dro,1.000000,3,0.681408,0.002482,0.184790,0.003266,0.000000,0.000000
adult,combined,0.400000,naive,1.000000,3,0.666777,0.001840,0.213439,0.003623,0.000000,0.000000
adult,dp,0.000000,dro,1.000000,3,0.816621,0.000897,0.145703,0.002780,0.000000,0.000000
adult,dp,0.000000,naive,1.000000,3,0.814741,0.001519,0.152044,0.003240,0.000000,0.000000
adult,dp,0.100000,dro,1.000000,3,0.819274,0.001053,0.204565,0.006421,0.000000,0.000000
adult,dp,0.100000,naive,1.000000,3,0.818132,0.002048,0.206795,0.007867,0.000000,0.000000
adult,dp,0.200000,dro,1.000000,3,0.755040,0.000717,0.237100,0.004520,0.000000,0.000000
adult,dp,0.200000,naive,1.000000,3,0.752792,0.001735,0.247975,0.004987,0.000000,0.000000
adult,dp,0.300000,dro,1.000000,3,0.679049,0.004342,0.264006,0.004934,0.000000,0.000000
adult,dp,0.300000,naive,1.000000,3,0.670094,0.004712,0.285528,0.005610,0.000000,0.000000
adult,dp,0.400000,dro,1.000000,3,0.557951,0.003164,0.283426,0.004043,0.000000,0.000000
adult,dp,0.400000,naive,1.000000,3,0.546932,0.002436,0.310107,0.004702,0.000000,0.000000
adult,if,0.000000,dro,1.000000,3,0.816621,0.000897,0.145703,0.002780,0.000000,0.000000
adult,if,0.000000,naive,1.000000,3,0.814741,0.001519,0.152044,0.003240,0.000000,0.000000
adult,if,0.100000,dro,1.000000,3,0.814889,0.001912,0.072927,0.003957,0.000000,0.000000
adult,if,0.100000,naive,1.000000,3,0.814041,0.001838,0.075885,0.002632,0.000000,0.000000
adult,if,0.200000,dro,1.000000,3,0.785111,0.004501,0.044792,0.006341,0.000000,0.000000
adult,if,0.200000,naive,1.000000,3,0.779842,0.005400,0.044951,0.005881,0.000000,0.000000
adult,if,0.300000,dro,1.000000,3,0.728690,0.006645,0.021782,0.006639,0.000000,0.000000
adult,if,0.300000,naive,1.000000,3,0.708495,0.006262,0.018999,0.006531,0.000000,0.000000
adult,if,0.400000,dro,1.000000,3,0.656569,0.004135,0.005189,0.001741,0.000000,0.000000
adult,if,0.400000,naive,1.000000,3,0.634789,0.003120,0.007096,0.003234,0.000000,0.000000
adult,combined,0.100000,dro,10.000000,3,0.822443,0.000997,0.216949,0.004597,0.000672,0.000153
adult,combined,0.100000,naive,10.000000,3,0.819790,0.001777,0.169799,0.002617,0.000728,0.000144
adult,combined,0.200000,dro,10.000000,3,0.744279,0.003958,0.428523,0.005134,0.000120,0.000050
adult,combined,0.200000,naive,10.000000,3,0.767606,0.004299,0.253949,0.006182,0.000605,0.000220
adult,combined,0.300000,dro,10.000000,3,0.687046,0.002353,0.517954,0.003090,0.000668,0.000101
adult,combined,0.300000,naive,10.000000,3,0.700018,0.001590,0.380183,0.008926,0.001276,0.000382
adult,combined,0.400000,dro,10.000000,3,0.665524,0.002389,0.520775,0.005278,0.001127,0.000299
adult,combined,0.400000,naive,10.000000,3,0.672195,0.000774,0.453776,0.014102,0.001657,0.000386
adult,dp,0.100000,dro,10.000000,3,0.819016,0.000815,0.223106,0.016310,0.000295,0.000076
adult,dp,0.100000,naive,10.000000,3,0.817726,0.002474,0.185013,0.012332,0.000673,0.000267
adult,dp,0.200000,dro,10.000000,3,0.750138,0.001560,0.463423,0.010922,0.000022,0.000004
adult,dp,0.200000,naive,10.000000,3,0.776525,0.003958,0.338208,0.008290,0.000205,0.000118
adult,dp,0.300000,dro,10.000000,3,0.676359,0.004560,0.553214,0.009613,0.000474,0.000184
adult,dp,0.300000,naive,10.000000,3,0.666040,0.004621,0.525287,0.014200,0.001182,0.000339
adult,dp,0.400000,dro,10.000000,3,0.550544,0.003089,0.523105,0.005851,0.002770,0.000372
adult,dp,0.400000,naive,10.000000,3,0.538603,0.001512,0.515828,0.005526,0.003829,0.000370
adult,if,0.100000,dro,10.000000,3,0.815331,0.001743,0.147872,0.007558,0.000384,0.000163
adult,if,0.100000,naive,10.000000,3,0.813267,0.001922,0.127810,0.004864,0.000547,0.000187
