dataset,attack,alpha,n_seeds,dp_naive_mean,dp_dro_mean,dp_diff_mean,dp_wins_dro,dp_ties,dp_pvalue,if_naive_mean,if_dro_mean,if_diff_mean,if_wins_dro,if_ties,if_pvalue
adult,combined,0.000000,6,0.149055,0.142635,0.006421,6,0,0.015625,0.000000,0.000000,-0.000000,2,0,0.781250
adult,combined,0.100000,6,0.150870,0.143248,0.007622,6,0,0.015625,0.000000,0.000000,0.000000,6,0,0.015625
adult,combined,0.200000,6,0.196296,0.178448,0.017847,6,0,0.015625,0.000000,0.000000,0.000000,3,0,0.218750
adult,combined,0.300000,6,0.217567,0.192235,0.025332,6,0,0.015625,0.000000,0.000000,0.000000,6,0,0.015625
adult,combined,0.400000,6,0.211010,0.181493,0.029517,6,0,0.015625,0.000000,0.000000,0.000000,2,0,0.578125
adult,dp,0.000000,6,0.149055,0.142635,0.006421,6,0,0.015625,0.000000,0.000000,-0.000000,2,0,0.781250
adult,dp,0.100000,6,0.202562,0.199895,0.002667,5,0,0.031250,0.000000,0.000000,0.000000,4,0,0.281250
adult,dp,0.200000,6,0.245241,0.233382,0.011859,6,0,0.015625,0.000000,0.000000,-0.000000,2,0,0.890625
adult,dp,0.300000,6,0.284781,0.261353,0.023428,6,0,0.015625,0.000000,0.000000,0.000000,4,0,0.343750
adult,dp,0.400000,6,0.314011,0.285500,0.028511,6,0,0.015625,0.000000,0.000000,0.000000,4,0,0.281250
adult,if,0.000000,6,0.149055,0.142635,0.006421,6,0,0.015625,0.000000,0.000000,-0.000000,2,0,0.781250
adult,if,0.100000,6,0.074052,0.069754,0.004298,5,0,0.031250,0.000000,0.000000,0.000000,5,0,0.046875
adult,if,0.200000,6,0.041584,0.040664,0.000920,4,0,0.156250,0.000000,0.000000,-0.000000,3,0,0.656250
adult,if,0.300000,6,0.017657,0.019502,-0.001845,1,0,0.984375,0.000000,0.000000,0.000000,3,0,0.218750
adult,if,0.400000,6,0.007348,0.004810,0.002538,5,0,0.156250,0.000000,0.000000,0.000000,2,1,0.500000
credit,combined,0.000000,6,0.012747,0.011941,0.000806,6,0,0.015625,0.000000,0.000000,0.000000,1,5,0.500000
credit,combined,0.100000,6,0.011692,0.010624,0.001068,5,0,0.031250,0.000000,0.000000,0.000000,0,6,1.000000
credit,combined,0.200000,6,0.013463,0.012083,0.001381,6,0,0.015625,0.000000,0.000000,0.000000,0,6,1.000000
credit,combined,0.300000,3,0.015399,0.013127,0.002272,3,0,0.125000,0.000000,0.000000,0.000000,0,3,1.000000
credit,dp,0.000000,6,0.012747,0.011941,0.000806,6,0,0.015625,0.000000,0.000000,0.000000,1,5,0.500000
credit,dp,0.100000,6,0.015133,0.013428,0.001705,6,0,0.015625,0.000000,0.000000,0.000000,1,5,0.500000
credit,dp,0.200000,6,0.019784,0.017829,0.001955,6,0,0.015625,0.000000,0.000000,-0.000000,0,5,1.000000
credit,dp,0.300000,3,0.022181,0.019903,0.002278,3,0,0.125000,0.000000,0.000000,0.000000,0,3,1.000000
credit,if,0.000000,6,0.012747,0.011941,0.000806,6,0,0.015625,0.000000,0.000000,0.000000,1,5,0.500000
credit,if,0.100000,6,0.007355,0.006397,0.000958,5,0,0.046875,0.000000,0.000000,-0.000000,0,5,1.000000
credit,if,0.200000,6,0.005669,0.004745,0.000923,6,0,0.015625,0.000000,0.000000,0.000000,0,6,1.000000
credit,if,0.300000,3,0.002707,0.001704,0.001003,3,0,0.125000,0.000000,0.000000,-0.000000,0,2,1.000000
